Date,fix,kix,sp5
2005-07-11,569.4561,4208.99,95.426636
2005-07-12,567.9069999999999,4253.32,95.677055
2005-07-13,569.497,4282.55,95.810112
2005-07-14,570.0041,4246.36,96.185738
2005-07-15,570.4165,4142.8,96.130959
2005-07-18,570.3561,4118.77,95.747467
2005-07-19,570.6343,4073.09,96.271797
2005-07-20,569.8781,4068.23,96.600487
2005-07-21,567.0804,3985.44,96.037048
2005-07-22,571.3524,3987.04,96.678795
2005-07-25,571.5307,3964.78,96.404839
2005-07-26,571.9112,3953.92,96.522247
2005-07-27,572.01,3964.5,96.874413
2005-07-28,573.2277,3989.74,97.484802
2005-07-29,572.5733,3982.0,96.835274
2005-08-01,571.3074,3986.1,96.764877
2005-08-02,571.933,4016.74,97.343925
2005-08-03,570.9411,4030.68,97.602196
2005-08-04,569.0092,4034.22,96.819603
2005-08-05,566.7998,4049.95,96.162262
2005-08-08,566.6572,4059.94,95.982277
2005-08-09,566.8348,4057.52,96.561401
2005-08-10,569.669,4028.45,96.514435
2005-08-11,571.6125,4035.46,96.897873
2005-08-12,571.686,4012.42,96.303093
2005-08-15,570.7496,4016.32,96.897873
2005-08-16,570.1456,4035.72,95.637924
2005-08-17,566.3952,4048.12,95.630096
2005-08-18,564.2015,4045.2,95.622292
2005-08-19,564.9637,4047.26,95.8414
2005-08-22,568.2564,4034.37,95.8414
2005-08-23,566.679,4025.14,95.6614
2005-08-24,565.6098,4017.89,94.808418
2005-08-25,564.9472,3992.57,95.152733
2005-08-26,563.0261,3992.57,94.50322
2005-08-29,566.3666,3949.74,95.231003
2005-08-30,567.8,3939.66,94.730171
2005-08-31,569.4265,3938.7,95.92749
2005-09-01,572.0199,3924.11,95.85704
2005-09-02,572.3849,3884.63,95.684868
2005-09-06,573.3932,3875.43,96.803963
2005-09-07,572.39,3845.93,96.968285
2005-09-08,573.1291,3845.97,96.647461
2005-09-09,574.3981,3847.17,97.508278
2005-09-12,572.5772,3833.6,97.31266
2005-09-13,570.9908,3806.32,96.772675
2005-09-14,571.9069,3786.1,96.420502
2005-09-15,572.8587,3819.56,96.373558
2005-09-16,572.8236,3801.87,97.058815
2005-09-19,579.2044,3791.59,96.736633
2005-09-20,580.1137,3781.75,95.919304
2005-09-21,580.0741,3781.03,95.023361
2005-09-22,579.9031,3797.74,95.36129
2005-09-23,577.4074,3791.57,95.439911
2005-09-26,579.1521,3801.74,95.549919
2005-09-27,579.766,3816.37,95.526352
2005-09-28,584.373,3820.48,95.620667
2005-09-29,587.2535,3831.41,96.398697
2005-09-30,587.451,3832.69,96.697342
2005-10-03,589.4233,3831.01,96.35154
2005-10-04,590.4266,3868.87,95.266998
2005-10-05,585.2481,3842.16,94.017433
2005-10-06,576.659,3840.4,93.679482
2005-10-07,579.5535,3843.49,94.001694
2005-10-10,580.8544,3846.1,93.207947
2005-10-11,584.6171,3846.16,93.074341
